T26,Population employed in research and development (R&D),,,,,
792,Turkey,2010,R & D personnel: Researchers - women (number in full-time equivalent),21056.3330,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2010,R & D personnel: Technicians - total (number in full-time equivalent),10351.7920,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2010,R & D personnel: Technicians - women (number in full-time equivalent),1740.9650,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),7098.7870,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),1550.6180,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2017,R & D personnel: Total (number in full-time equivalent),153552.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2017,R & D personnel: Researchers - total (number in full-time equivalent),111893.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2017,R & D personnel: Researchers - women (number in full-time equivalent),36677.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2017,R & D personnel: Technicians - total (number in full-time equivalent),28694.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2017,R & D personnel: Technicians - women (number in full-time equivalent),8078.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),12965.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
792,Turkey,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),4480.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2005,R & D personnel: Total (number in full-time equivalent),1686.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2005,R & D personnel: Researchers - total (number in full-time equivalent),776.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2005,R & D personnel: Researchers - women (number in full-time equivalent),291.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2005,R & D personnel: Technicians - total (number in full-time equivalent),472.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),438.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2010,R & D personnel: Total (number in full-time equivalent),4270.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2010,R & D personnel: Researchers - total (number in full-time equivalent),2823.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2010,R & D personnel: Researchers - women (number in full-time equivalent),687.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2010,R & D personnel: Technicians - total (number in full-time equivalent),922.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2010,R & D personnel: Technicians - women (number in full-time equivalent),254.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),525.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),155.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2014,R & D personnel: Total (number in full-time equivalent),2881.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2014,R & D personnel: Researchers - total (number in full-time equivalent),1942.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2014,R & D personnel: Researchers - women (number in full-time equivalent),578.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2014,R & D personnel: Technicians - total (number in full-time equivalent),599.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2014,R & D personnel: Technicians - women (number in full-time equivalent),205.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
800,Uganda,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),340.0000,Break in the time series.;Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
