T10,Expenditure on health,,,,,
834,United Rep. of Tanzania,2017,Domestic general government health expenditure (% of total government expenditure),9.5214,"Data revision.;Tanzania mainland only, excluding Zanzibar.","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2000,Current health expenditure (% of GDP),12.5025,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2005,Current health expenditure (% of GDP),14.5421,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2010,Current health expenditure (% of GDP),16.4120,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2015,Current health expenditure (% of GDP),16.8399,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2016,Current health expenditure (% of GDP),17.1973,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2017,Current health expenditure (% of GDP),17.0613,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2000,Domestic general government health expenditure (% of total government expenditure),16.1590,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2005,Domestic general government health expenditure (% of total government expenditure),17.9354,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2010,Domestic general government health expenditure (% of total government expenditure),18.4174,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2015,Domestic general government health expenditure (% of total government expenditure),22.3037,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2016,Domestic general government health expenditure (% of total government expenditure),22.4564,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
840,United States of America,2017,Domestic general government health expenditure (% of total government expenditure),22.5492,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2000,Current health expenditure (% of GDP),10.0062,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2005,Current health expenditure (% of GDP),8.4266,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2010,Current health expenditure (% of GDP),8.5942,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2015,Current health expenditure (% of GDP),9.0082,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2016,Current health expenditure (% of GDP),9.1559,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2017,Current health expenditure (% of GDP),9.2962,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2000,Domestic general government health expenditure (% of total government expenditure),14.2750,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2005,Domestic general government health expenditure (% of total government expenditure),13.2327,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2010,Domestic general government health expenditure (% of total government expenditure),16.9337,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2015,Domestic general government health expenditure (% of total government expenditure),19.0490,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2016,Domestic general government health expenditure (% of total government expenditure),19.2654,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
858,Uruguay,2017,Domestic general government health expenditure (% of total government expenditure),19.7755,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2000,Current health expenditure (% of GDP),5.3580,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2005,Current health expenditure (% of GDP),5.0403,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2010,Current health expenditure (% of GDP),5.5962,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2015,Current health expenditure (% of GDP),6.1016,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2016,Current health expenditure (% of GDP),6.3150,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2017,Current health expenditure (% of GDP),6.4144,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2000,Domestic general government health expenditure (% of total government expenditure),6.1087,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2005,Domestic general government health expenditure (% of total government expenditure),6.4677,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2010,Domestic general government health expenditure (% of total government expenditure),8.0394,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
860,Uzbekistan,2015,Domestic general government health expenditure (% of total government expenditure),10.1460,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
